Name of Painter,Subject of Painting,Style,Medium,Size,Frame,Location,Price ($),Delivery (days),Shipment,Color Palette,Copy or Original,Print or Real,Recommended Environment,Mood/Atmosphere,Theme/Lighting Requirements,Reproduction Type,Target Audience,Date
Emma,Still Life,Modern,Mixed Media,"20""x30""",No,Montreal,918,3,Free Shipping,Cool Tones,Original,Print,Bedroom,Relaxing,Dim Light,Screen Print,Interior Designers,2021-10-25
Olivia,Landscape,Surrealism,Watercolor,"18""x24""",Yes,Miami,875,10,Express,Earthy Tones,Copy,Real,Office,Reflective,Dim Light,Screen Print,Young Professionals,2021-10-26
Olivia,Seascape,Surrealism,Acrylic,"20""x30""",Yes,Vancouver,924,5,Express,Oceanic Tones,Copy,Print,Kid Room,Joyful,Bright Light,Screen Print,Art Collectors,2021-10-27
Olivia,Wildlife,Realism,Mixed Media,"30""x40""",Yes,Los Angeles,848,9,Free Shipping,Earthy Tones,Copy,Real,Bedroom,Joyful,Natural Light,Lithograph,Interior Designers,2021-10-28
Vincent,Seascape,Modern,Mixed Media,"24""x36""",Yes,Los Angeles,344,7,Standard,Neutral Tones,Original,Real,Kid Room,Joyful,Natural Light,,Interior Designers,2021-10-29
Vincent,Abstract,Abstract Expressionism,Charcoal,"30""x40""",No,Vancouver,933,6,Express,Warm Tones,Copy,Print,Gallery,Reflective,Natural Light,Screen Print,Art Collectors,2021-10-30
Noah,Seascape,Realism,Acrylic,"18""x24""",Yes,Calgary,854,7,Express,Warm Tones,Copy,Print,Kid Room,Joyful,Natural Light,Lithograph,Interior Designers,2021-10-31
Claude,Abstract,Abstract Expressionism,Charcoal,"30""x40""",Yes,New York,731,9,Express,Warm Tones,Original,Print,Office,Calming,Bright Light,,Art Collectors,2021-11-01
Vincent,Abstract,Impressionism,Charcoal,"20""x30""",Yes,Los Angeles,528,3,Standard,Earthy Tones,Copy,Real,Kid Room,Relaxing,Dim Light,,Interior Designers,2021-11-02
Liam,Seascape,Impressionism,Charcoal,"20""x30""",Yes,Montreal,368,10,Free Shipping,Cool Tones,Original,Print,Bedroom,Energetic,Dim Light,Screen Print,Young Professionals,2021-11-03
Noah,Landscape,Impressionism,Charcoal,"24""x36""",Yes,New York,774,4,Standard,Cool Tones,Copy,Print,Office,Joyful,Dim Light,,Art Collectors,2021-11-04
Noah,Wildlife,Abstract Expressionism,Charcoal,"18""x24""",Yes,Chicago,339,5,Free Shipping,Warm Tones,Copy,Print,Gallery,Energetic,Natural Light,Screen Print,Families,2021-11-05
Leonardo,Abstract,Modern,Watercolor,"20""x30""",No,Chicago,782,10,Standard,Cool Tones,Copy,Print,Office,Joyful,Natural Light,,Interior Designers,2021-11-06
Olivia,Portrait,Realism,Oil,"18""x24""",No,Toronto,907,6,Free Shipping,Warm Tones,Copy,Real,Bedroom,Reflective,Dim Light,,Interior Designers,2021-11-07
Frida,Seascape,Impressionism,Mixed Media,"20""x30""",Yes,Chicago,290,9,Express,Earthy Tones,Copy,Real,Gallery,Calming,Dim Light,Screen Print,Interior Designers,2021-11-08
Emma,Portrait,Abstract Expressionism,Acrylic,"24""x36""",No,Montreal,891,4,Standard,Warm Tones,Original,Print,Living Room,Relaxing,Dim Light,Screen Print,Young Professionals,2021-11-09
Jija,Seascape,Realism,Watercolor,"20""x30""",No,Montreal,413,6,Express,Neutral Tones,Copy,Real,Living Room,Energetic,Bright Light,Screen Print,Interior Designers,2021-11-10
Leonardo,Portrait,Abstract Expressionism,Watercolor,"24""x36""",No,Toronto,794,5,Free Shipping,Cool Tones,Original,Print,Gallery,Joyful,Dim Light,Screen Print,Art Collectors,2021-11-11
Noah,Abstract,Realism,Charcoal,"24""x36""",No,Vancouver,965,10,Standard,Neutral Tones,Copy,Print,Living Room,Reflective,Natural Light,,Families,2021-11-12
Noah,Still Life,Modern,Charcoal,"24""x36""",No,Chicago,231,7,Free Shipping,Warm Tones,Copy,Print,Office,Joyful,Dim Light,Lithograph,Interior Designers,2021-11-13
Jija,Portrait,Impressionism,Watercolor,"24""x36""",No,Montreal,727,3,Express,Cool Tones,Copy,Real,Office,Relaxing,Natural Light,Giclée,Families,2021-11-14
Leonardo,Seascape,Abstract Expressionism,Mixed Media,"24""x36""",No,Los Angeles,221,10,Free Shipping,Neutral Tones,Copy,Print,Gallery,Relaxing,Natural Light,Lithograph,Interior Designers,2021-11-15
Vincent,Wildlife,Cubism,Watercolor,"30""x40""",No,Montreal,171,5,Standard,Warm Tones,Original,Real,Living Room,Energetic,Bright Light,,Corporate Clients,2021-11-16
Pablo,Portrait,Surrealism,Oil,"30""x40""",No,Toronto,907,9,Express,Oceanic Tones,Copy,Print,Kid Room,Relaxing,Dim Light,Lithograph,Art Collectors,2021-11-17
Noah,Landscape,Modern,Charcoal,"30""x40""",No,Calgary,469,7,Express,Earthy Tones,Copy,Print,Gallery,Calming,Dim Light,Lithograph,Families,2021-11-18
Jija,Still Life,Surrealism,Watercolor,"20""x30""",No,Montreal,657,5,Standard,Earthy Tones,Original,Real,Bedroom,Reflective,Natural Light,Screen Print,Young Professionals,2021-11-19
Claude,Seascape,Cubism,Watercolor,"24""x36""",Yes,Calgary,734,6,Express,Neutral Tones,Original,Real,Gallery,Calming,Natural Light,Screen Print,Interior Designers,2021-11-20
Pablo,Fantasy,Realism,Watercolor,"20""x30""",Yes,Calgary,715,6,Standard,Earthy Tones,Original,Real,Bedroom,Calming,Bright Light,Screen Print,Families,2021-11-21
Claude,Seascape,Realism,Acrylic,"20""x30""",Yes,Calgary,868,4,Express,Warm Tones,Original,Real,Gallery,Reflective,Dim Light,Lithograph,Art Collectors,2021-11-22
Vincent,Landscape,Surrealism,Charcoal,"16""x20""",No,Calgary,528,9,Standard,Warm Tones,Original,Print,Living Room,Relaxing,Dim Light,Lithograph,Art Collectors,2021-11-23
Emma,Fantasy,Impressionism,Acrylic,"16""x20""",No,Miami,450,4,Free Shipping,Earthy Tones,Original,Print,Kid Room,Reflective,Bright Light,,Interior Designers,2021-11-24
Noah,Fantasy,Impressionism,Acrylic,"30""x40""",No,Los Angeles,581,10,Standard,Oceanic Tones,Copy,Real,Kid Room,Joyful,Bright Light,,Corporate Clients,2021-11-25
Ava,Wildlife,Surrealism,Watercolor,"20""x30""",Yes,Los Angeles,149,4,Express,Warm Tones,Copy,Real,Kid Room,Relaxing,Bright Light,Screen Print,Art Collectors,2021-11-26
Leonardo,Abstract,Realism,Mixed Media,"18""x24""",No,Montreal,680,7,Standard,Cool Tones,Original,Print,Bedroom,Relaxing,Natural Light,Screen Print,Young Professionals,2021-11-27
Olivia,Wildlife,Impressionism,Charcoal,"20""x30""",No,Montreal,179,7,Express,Warm Tones,Original,Real,Office,Calming,Natural Light,Screen Print,Families,2021-11-28
Emma,Seascape,Abstract Expressionism,Oil,"16""x20""",No,New York,657,8,Express,Cool Tones,Copy,Print,Kid Room,Relaxing,Bright Light,,Young Professionals,2021-11-29
Pablo,Wildlife,Modern,Charcoal,"24""x36""",Yes,Los Angeles,508,8,Express,Earthy Tones,Copy,Print,Living Room,Energetic,Dim Light,Giclée,Families,2021-11-30
Frida,Portrait,Surrealism,Charcoal,"24""x36""",Yes,Calgary,508,9,Standard,Warm Tones,Original,Print,Living Room,Relaxing,Natural Light,Lithograph,Interior Designers,2021-12-01
Liam,Landscape,Surrealism,Acrylic,"16""x20""",Yes,Calgary,854,5,Free Shipping,Earthy Tones,Original,Print,Office,Reflective,Bright Light,,Art Collectors,2021-12-02
Ava,Still Life,Cubism,Watercolor,"24""x36""",No,New York,774,7,Standard,Earthy Tones,Copy,Real,Bedroom,Joyful,Dim Light,,Interior Designers,2021-12-03
Frida,Landscape,Surrealism,Mixed Media,"30""x40""",Yes,Calgary,205,6,Free Shipping,Earthy Tones,Copy,Real,Living Room,Relaxing,Bright Light,Lithograph,Interior Designers,2021-12-04
Olivia,Fantasy,Surrealism,Mixed Media,"30""x40""",No,Chicago,197,4,Express,Warm Tones,Original,Print,Gallery,Energetic,Dim Light,Giclée,Families,2021-12-05
Emma,Portrait,Impressionism,Acrylic,"20""x30""",Yes,Miami,212,7,Free Shipping,Earthy Tones,Original,Real,Bedroom,Reflective,Dim Light,Lithograph,Art Collectors,2021-12-06
Olivia,Portrait,Abstract Expressionism,Oil,"20""x30""",Yes,New York,857,5,Free Shipping,Warm Tones,Copy,Print,Gallery,Joyful,Natural Light,,Young Professionals,2021-12-07
Pablo,Still Life,Surrealism,Charcoal,"18""x24""",Yes,Vancouver,657,5,Standard,Neutral Tones,Copy,Real,Bedroom,Reflective,Dim Light,Giclée,Art Collectors,2021-12-08
Olivia,Seascape,Surrealism,Watercolor,"20""x30""",Yes,Los Angeles,918,7,Standard,Warm Tones,Copy,Print,Bedroom,Energetic,Natural Light,,Young Professionals,2021-12-09
Vincent,Still Life,Abstract Expressionism,Mixed Media,"18""x24""",No,Vancouver,671,4,Standard,Neutral Tones,Original,Print,Office,Calming,Natural Light,Screen Print,Young Professionals,2021-12-10
Emma,Seascape,Modern,Charcoal,"30""x40""",No,Los Angeles,225,10,Free Shipping,Warm Tones,Original,Print,Living Room,Energetic,Natural Light,,Corporate Clients,2021-12-11
Jija,Seascape,Impressionism,Watercolor,"18""x24""",No,Montreal,875,9,Express,Earthy Tones,Original,Real,Office,Reflective,Natural Light,Screen Print,Corporate Clients,2021-12-12
Jija,Abstract,Impressionism,Watercolor,"24""x36""",No,Montreal,671,10,Express,Neutral Tones,Copy,Real,Bedroom,Calming,Bright Light,Screen Print,Corporate Clients,2021-12-13
Jija,Fantasy,Surrealism,Watercolor,"16""x20""",Yes,Montreal,816,7,Standard,Warm Tones,Original,Print,Bedroom,Energetic,Dim Light,Lithograph,Corporate Clients,2021-12-14
Claude,Still Life,Cubism,Charcoal,"16""x20""",No,Miami,649,7,Express,Cool Tones,Original,Real,Office,Energetic,Natural Light,Giclée,Corporate Clients,2021-12-15
Noah,Wildlife,Impressionism,Watercolor,"18""x24""",Yes,Calgary,699,3,Express,Earthy Tones,Original,Print,Office,Reflective,Bright Light,,Art Collectors,2021-12-16
Claude,Fantasy,Realism,Acrylic,"16""x20""",No,Vancouver,234,7,Express,Oceanic Tones,Copy,Real,Gallery,Joyful,Dim Light,Giclée,Corporate Clients,2021-12-17
Pablo,Landscape,Realism,Mixed Media,"30""x40""",No,Chicago,785,3,Standard,Cool Tones,Original,Print,Bedroom,Calming,Natural Light,Giclée,Corporate Clients,2021-12-18
Jija,Abstract,Cubism,Watercolor,"30""x40""",Yes,Montreal,581,10,Express,Earthy Tones,Copy,Print,Living Room,Reflective,Dim Light,,Young Professionals,2021-12-19
Claude,Wildlife,Realism,Oil,"24""x36""",No,Toronto,657,7,Express,Earthy Tones,Original,Real,Office,Calming,Bright Light,Lithograph,Young Professionals,2021-12-20
Emma,Landscape,Surrealism,Mixed Media,"30""x40""",No,New York,299,8,Express,Cool Tones,Original,Real,Office,Relaxing,Bright Light,Screen Print,Corporate Clients,2021-12-21
Olivia,Landscape,Surrealism,Oil,"20""x30""",Yes,Calgary,452,6,Standard,Oceanic Tones,Copy,Real,Office,Energetic,Bright Light,Screen Print,Interior Designers,2021-12-22
Noah,Seascape,Modern,Acrylic,"16""x20""",Yes,Chicago,707,9,Free Shipping,Earthy Tones,Original,Print,Living Room,Calming,Bright Light,Lithograph,Young Professionals,2021-12-23
Noah,Seascape,Impressionism,Watercolor,"24""x36""",Yes,Toronto,384,6,Free Shipping,Earthy Tones,Copy,Real,Gallery,Energetic,Natural Light,Giclée,Corporate Clients,2021-12-24
Leonardo,Landscape,Realism,Acrylic,"18""x24""",No,Miami,171,9,Standard,Warm Tones,Original,Print,Gallery,Relaxing,Dim Light,Giclée,Interior Designers,2021-12-25
Jija,Abstract,Abstract Expressionism,Watercolor,"16""x20""",Yes,Montreal,813,3,Express,Cool Tones,Original,Print,Bedroom,Joyful,Bright Light,Lithograph,Art Collectors,2021-12-26
Noah,Portrait,Surrealism,Watercolor,"24""x36""",No,New York,127,6,Express,Earthy Tones,Original,Print,Gallery,Joyful,Dim Light,,Young Professionals,2021-12-27
Leonardo,Abstract,Abstract Expressionism,Oil,"20""x30""",Yes,Montreal,161,7,Free Shipping,Cool Tones,Original,Real,Kid Room,Relaxing,Bright Light,Screen Print,Young Professionals,2021-12-28
Pablo,Abstract,Abstract Expressionism,Acrylic,"20""x30""",No,Calgary,452,6,Free Shipping,Neutral Tones,Copy,Print,Gallery,Reflective,Dim Light,,Art Collectors,2021-12-29
Olivia,Wildlife,Modern,Charcoal,"24""x36""",No,Calgary,272,7,Free Shipping,Earthy Tones,Original,Print,Office,Relaxing,Natural Light,Screen Print,Families,2021-12-30
Liam,Still Life,Abstract Expressionism,Acrylic,"18""x24""",Yes,Los Angeles,840,6,Free Shipping,Earthy Tones,Original,Real,Bedroom,Energetic,Bright Light,,Families,2021-12-31
Pablo,Portrait,Impressionism,Charcoal,"16""x20""",No,Los Angeles,225,8,Free Shipping,Warm Tones,Copy,Print,Kid Room,Calming,Natural Light,Screen Print,Families,2022-01-01
Liam,Abstract,Abstract Expressionism,Charcoal,"24""x36""",Yes,Los Angeles,539,9,Standard,Cool Tones,Original,Real,Office,Joyful,Bright Light,Lithograph,Young Professionals,2022-01-02
Jija,Seascape,Abstract Expressionism,Watercolor,"16""x20""",Yes,Montreal,450,3,Express,Warm Tones,Copy,Real,Living Room,Joyful,Dim Light,Lithograph,Art Collectors,2022-01-03
Emma,Abstract,Cubism,Mixed Media,"30""x40""",No,Los Angeles,452,10,Express,Neutral Tones,Original,Real,Gallery,Calming,Dim Light,,Corporate Clients,2022-01-04
Frida,Fantasy,Abstract Expressionism,Watercolor,"30""x40""",Yes,Vancouver,853,6,Standard,Cool Tones,Copy,Print,Kid Room,Reflective,Bright Light,Lithograph,Families,2022-01-05
Liam,Landscape,Modern,Watercolor,"18""x24""",Yes,Los Angeles,508,9,Express,Earthy Tones,Original,Real,Office,Calming,Dim Light,Lithograph,Families,2022-01-06
Claude,Abstract,Abstract Expressionism,Acrylic,"24""x36""",Yes,New York,657,6,Free Shipping,Oceanic Tones,Original,Real,Office,Relaxing,Natural Light,Screen Print,Young Professionals,2022-01-07
Leonardo,Landscape,Modern,Acrylic,"30""x40""",No,Vancouver,130,3,Express,Oceanic Tones,Original,Real,Living Room,Relaxing,Dim Light,Giclée,Art Collectors,2022-01-08
Frida,Fantasy,Modern,Oil,"18""x24""",Yes,Los Angeles,785,4,Standard,Warm Tones,Copy,Print,Bedroom,Calming,Bright Light,Screen Print,Corporate Clients,2022-01-09
Jija,Portrait,Impressionism,Watercolor,"16""x20""",No,Montreal,943,10,Free Shipping,Warm Tones,Original,Real,Kid Room,Reflective,Natural Light,Screen Print,Young Professionals,2022-01-10
Leonardo,Landscape,Cubism,Watercolor,"24""x36""",Yes,Chicago,868,4,Express,Oceanic Tones,Original,Real,Office,Relaxing,Bright Light,,Art Collectors,2022-01-11
Jija,Fantasy,Abstract Expressionism,Watercolor,"18""x24""",No,Montreal,452,9,Standard,Earthy Tones,Copy,Real,Office,Reflective,Natural Light,,Interior Designers,2022-01-12
Noah,Wildlife,Surrealism,Mixed Media,"20""x30""",Yes,Calgary,272,3,Free Shipping,Cool Tones,Original,Real,Office,Joyful,Natural Light,Giclée,Art Collectors,2022-01-13
Vincent,Landscape,Modern,Watercolor,"20""x30""",Yes,Chicago,918,8,Free Shipping,Neutral Tones,Original,Real,Living Room,Relaxing,Dim Light,Giclée,Young Professionals,2022-01-14
Emma,Landscape,Abstract Expressionism,Charcoal,"20""x30""",Yes,Miami,581,3,Standard,Neutral Tones,Copy,Print,Bedroom,Energetic,Bright Light,Screen Print,Young Professionals,2022-01-15
Claude,Still Life,Realism,Oil,"20""x30""",Yes,Calgary,161,6,Free Shipping,Warm Tones,Copy,Real,Office,Reflective,Dim Light,,Interior Designers,2022-01-16
Emma,Wildlife,Cubism,Mixed Media,"18""x24""",Yes,Montreal,212,10,Standard,Oceanic Tones,Original,Print,Gallery,Reflective,Natural Light,Screen Print,Corporate Clients,2022-01-17
Leonardo,Abstract,Cubism,Mixed Media,"30""x40""",No,Los Angeles,875,8,Standard,Cool Tones,Original,Real,Office,Energetic,Dim Light,Screen Print,Interior Designers,2022-01-18
Frida,Landscape,Surrealism,Charcoal,"18""x24""",No,Vancouver,840,7,Express,Earthy Tones,Original,Real,Gallery,Calming,Bright Light,Giclée,Art Collectors,2022-01-19
Olivia,Abstract,Modern,Charcoal,"20""x30""",No,Toronto,157,9,Standard,Cool Tones,Copy,Print,Living Room,Relaxing,Bright Light,,Corporate Clients,2022-01-20
Vincent,Wildlife,Surrealism,Watercolor,"16""x20""",Yes,Miami,956,8,Standard,Oceanic Tones,Original,Print,Office,Calming,Natural Light,,Art Collectors,2022-01-21
Emma,Seascape,Realism,Acrylic,"18""x24""",Yes,Vancouver,212,8,Standard,Cool Tones,Original,Print,Bedroom,Joyful,Natural Light,Giclée,Young Professionals,2022-01-22
Pablo,Still Life,Realism,Charcoal,"18""x24""",Yes,Los Angeles,875,3,Express,Cool Tones,Copy,Print,Office,Relaxing,Bright Light,Lithograph,Corporate Clients,2022-01-23
Jija,Landscape,Realism,Watercolor,"16""x20""",No,Montreal,404,10,Free Shipping,Warm Tones,Copy,Real,Gallery,Joyful,Bright Light,Lithograph,Young Professionals,2022-01-24
Olivia,Portrait,Cubism,Acrylic,"16""x20""",No,Los Angeles,352,4,Express,Earthy Tones,Original,Real,Gallery,Relaxing,Natural Light,,Families,2022-01-25
Claude,Fantasy,Realism,Charcoal,"16""x20""",Yes,Toronto,231,10,Free Shipping,Warm Tones,Copy,Real,Office,Relaxing,Dim Light,Giclée,Art Collectors,2022-01-26
Jija,Wildlife,Modern,Watercolor,"18""x24""",No,Montreal,508,3,Standard,Warm Tones,Copy,Real,Gallery,Relaxing,Natural Light,Screen Print,Young Professionals,2022-01-27
Noah,Fantasy,Realism,Oil,"30""x40""",Yes,Los Angeles,352,5,Standard,Earthy Tones,Original,Print,Kid Room,Joyful,Dim Light,,Interior Designers,2022-01-28
Olivia,Abstract,Surrealism,Mixed Media,"16""x20""",Yes,Toronto,222,7,Standard,Cool Tones,Original,Real,Office,Relaxing,Natural Light,,Corporate Clients,2022-01-29
Jija,Landscape,Impressionism,Watercolor,"18""x24""",Yes,Montreal,956,10,Free Shipping,Warm Tones,Copy,Print,Office,Relaxing,Natural Light,Lithograph,Families,2022-01-30
Pablo,Seascape,Abstract Expressionism,Charcoal,"30""x40""",Yes,Vancouver,344,3,Express,Cool Tones,Original,Real,Office,Reflective,Natural Light,Giclée,Young Professionals,2022-01-31
Olivia,Still Life,Abstract Expressionism,Watercolor,"20""x30""",No,Montreal,640,9,Express,Warm Tones,Original,Print,Office,Energetic,Natural Light,Giclée,Art Collectors,2022-02-01
Liam,Abstract,Abstract Expressionism,Oil,"24""x36""",No,New York,965,10,Standard,Earthy Tones,Copy,Real,Living Room,Calming,Natural Light,Lithograph,Young Professionals,2022-02-02
Frida,Still Life,Realism,Mixed Media,"24""x36""",No,Los Angeles,965,4,Standard,Oceanic Tones,Copy,Real,Office,Joyful,Natural Light,,Interior Designers,2022-02-03
Frida,Fantasy,Abstract Expressionism,Watercolor,"30""x40""",No,Toronto,515,10,Free Shipping,Oceanic Tones,Copy,Real,Kid Room,Relaxing,Bright Light,Screen Print,Young Professionals,2022-02-04
Vincent,Landscape,Abstract Expressionism,Charcoal,"16""x20""",No,Montreal,265,7,Express,Cool Tones,Copy,Real,Kid Room,Relaxing,Bright Light,Fine Art Print,Corporate Clients,2022-02-05
Vincent,Abstract,Realism,Watercolor,"16""x20""",Yes,Miami,857,10,Express,Cool Tones,Original,Real,Kid Room,Relaxing,Bright Light,Lithograph,Interior Designers,2022-02-06
Jija,Wildlife,Cubism,Watercolor,"20""x30""",Yes,Montreal,696,9,Free Shipping,Warm Tones,Original,Real,Office,Energetic,Bright Light,Screen Print,Young Professionals,2022-02-07
Liam,Still Life,Surrealism,Watercolor,"24""x36""",Yes,New York,909,7,Express,Oceanic Tones,Copy,Real,Living Room,Calming,Bright Light,,Young Professionals,2022-02-08
Jija,Portrait,Realism,Watercolor,"24""x36""",Yes,Montreal,225,4,Standard,Earthy Tones,Original,Print,Gallery,Energetic,Dim Light,Giclée,Families,2022-02-09
Vincent,Still Life,Realism,Acrylic,"16""x20""",No,Los Angeles,528,10,Express,Warm Tones,Copy,Real,Office,Joyful,Bright Light,Lithograph,Corporate Clients,2022-02-10
Frida,Fantasy,Abstract Expressionism,Watercolor,"18""x24""",Yes,Calgary,879,4,Express,Earthy Tones,Original,Real,Bedroom,Joyful,Natural Light,Giclée,Corporate Clients,2022-02-11
Frida,Wildlife,Surrealism,Oil,"20""x30""",No,Miami,707,3,Free Shipping,Neutral Tones,Copy,Print,Living Room,Joyful,Dim Light,Lithograph,Families,2022-02-12
Leonardo,Seascape,Modern,Watercolor,"16""x20""",No,Chicago,179,3,Express,Earthy Tones,Original,Print,Living Room,Reflective,Dim Light,Screen Print,Corporate Clients,2022-02-13
Pablo,Still Life,Abstract Expressionism,Mixed Media,"20""x30""",Yes,Montreal,774,10,Free Shipping,Earthy Tones,Copy,Print,Bedroom,Reflective,Dim Light,Lithograph,Young Professionals,2022-02-14
Vincent,Fantasy,Surrealism,Acrylic,"16""x20""",No,Montreal,907,9,Standard,Warm Tones,Original,Print,Gallery,Joyful,Bright Light,Giclée,Corporate Clients,2022-02-15
Olivia,Fantasy,Surrealism,Mixed Media,"20""x30""",Yes,Vancouver,719,9,Free Shipping,Cool Tones,Original,Real,Office,Joyful,Bright Light,Giclée,Young Professionals,2022-02-16
Frida,Abstract,Modern,Mixed Media,"16""x20""",No,Montreal,157,4,Express,Warm Tones,Original,Real,Kid Room,Calming,Dim Light,,Young Professionals,2022-02-17
Vincent,Abstract,Cubism,Oil,"20""x30""",No,Vancouver,179,10,Free Shipping,Earthy Tones,Copy,Print,Office,Relaxing,Natural Light,Screen Print,Art Collectors,2022-02-18
Claude,Fantasy,Surrealism,Oil,"18""x24""",No,Los Angeles,222,6,Standard,Earthy Tones,Original,Print,Kid Room,Energetic,Bright Light,Fine Art Print,Corporate Clients,2022-02-19
Leonardo,Still Life,Realism,Acrylic,"18""x24""",No,New York,225,6,Express,Neutral Tones,Copy,Print,Kid Room,Joyful,Natural Light,Fine Art Print,Families,2022-02-20
Leonardo,Fantasy,Abstract Expressionism,Oil,"30""x40""",Yes,Montreal,348,8,Express,Neutral Tones,Original,Print,Gallery,Reflective,Natural Light,Lithograph,Art Collectors,2022-02-21
Emma,Landscape,Abstract Expressionism,Acrylic,"18""x24""",Yes,Montreal,149,4,Standard,Cool Tones,Copy,Print,Living Room,Energetic,Dim Light,Giclée,Young Professionals,2022-02-22
Noah,Wildlife,Cubism,Acrylic,"20""x30""",No,Miami,771,7,Free Shipping,Warm Tones,Copy,Print,Bedroom,Energetic,Natural Light,Giclée,Art Collectors,2022-02-23
Vincent,Still Life,Modern,Watercolor,"24""x36""",No,Vancouver,516,7,Standard,Cool Tones,Copy,Print,Office,Reflective,Natural Light,Lithograph,Corporate Clients,2022-02-24
Olivia,Portrait,Abstract Expressionism,Oil,"16""x20""",Yes,Miami,450,7,Standard,Warm Tones,Copy,Print,Bedroom,Reflective,Bright Light,Screen Print,Interior Designers,2022-02-25
Claude,Still Life,Abstract Expressionism,Acrylic,"24""x36""",Yes,Los Angeles,640,7,Express,Warm Tones,Copy,Print,Bedroom,Relaxing,Bright Light,Giclée,Art Collectors,2022-02-26
Frida,Landscape,Modern,Mixed Media,"16""x20""",Yes,Toronto,704,9,Express,Neutral Tones,Original,Real,Living Room,Relaxing,Dim Light,,Young Professionals,2022-02-27
Emma,Wildlife,Realism,Oil,"16""x20""",Yes,Montreal,696,4,Free Shipping,Earthy Tones,Copy,Real,Living Room,Reflective,Natural Light,Giclée,Interior Designers,2022-02-28
Pablo,Abstract,Cubism,Mixed Media,"24""x36""",Yes,Miami,657,8,Standard,Oceanic Tones,Copy,Print,Gallery,Calming,Bright Light,Giclée,Families,2022-03-01
Vincent,Still Life,Impressionism,Mixed Media,"20""x30""",No,Los Angeles,225,6,Free Shipping,Warm Tones,Original,Real,Kid Room,Joyful,Bright Light,Lithograph,Families,2022-03-02
Ava,Wildlife,Surrealism,Charcoal,"16""x20""",Yes,Chicago,734,9,Standard,Oceanic Tones,Original,Real,Gallery,Energetic,Natural Light,,Corporate Clients,2022-03-03
Noah,Seascape,Modern,Charcoal,"30""x40""",Yes,Chicago,924,7,Express,Neutral Tones,Copy,Real,Bedroom,Joyful,Dim Light,Giclée,Families,2022-03-04
Pablo,Fantasy,Surrealism,Charcoal,"16""x20""",Yes,Chicago,581,6,Express,Warm Tones,Copy,Real,Office,Reflective,Natural Light,Screen Print,Art Collectors,2022-03-05
Jija,Still Life,Realism,Watercolor,"20""x30""",No,Montreal,644,7,Free Shipping,Neutral Tones,Copy,Print,Living Room,Relaxing,Natural Light,Lithograph,Young Professionals,2022-03-06
Noah,Fantasy,Cubism,Oil,"18""x24""",Yes,Miami,179,4,Express,Earthy Tones,Original,Print,Gallery,Reflective,Dim Light,,Corporate Clients,2022-03-07
Ava,Landscape,Modern,Charcoal,"24""x36""",No,Calgary,640,6,Express,Earthy Tones,Copy,Real,Gallery,Calming,Natural Light,Giclée,Young Professionals,2022-03-08
Emma,Still Life,Realism,Acrylic,"20""x30""",No,Montreal,956,3,Free Shipping,Oceanic Tones,Copy,Print,Gallery,Relaxing,Bright Light,Giclée,Corporate Clients,2022-03-09
Olivia,Wildlife,Realism,Acrylic,"18""x24""",No,New York,640,7,Free Shipping,Earthy Tones,Copy,Print,Kid Room,Calming,Dim Light,Lithograph,Families,2022-03-10
Leonardo,Portrait,Realism,Oil,"16""x20""",No,Chicago,348,7,Free Shipping,Oceanic Tones,Copy,Print,Office,Reflective,Dim Light,Lithograph,Interior Designers,2022-03-11
Claude,Wildlife,Surrealism,Mixed Media,"16""x20""",No,Miami,477,9,Free Shipping,Warm Tones,Copy,Print,Office,Relaxing,Natural Light,,Interior Designers,2022-03-12
Ava,Abstract,Modern,Acrylic,"30""x40""",No,Toronto,715,3,Free Shipping,Earthy Tones,Copy,Real,Gallery,Joyful,Dim Light,Giclée,Families,2022-03-13
Emma,Fantasy,Impressionism,Acrylic,"16""x20""",Yes,Toronto,868,7,Free Shipping,Earthy Tones,Copy,Print,Living Room,Reflective,Dim Light,,Interior Designers,2022-03-14
Noah,Fantasy,Abstract Expressionism,Charcoal,"24""x36""",No,Los Angeles,605,7,Express,Oceanic Tones,Copy,Print,Gallery,Joyful,Natural Light,Screen Print,Interior Designers,2022-03-15
Noah,Fantasy,Impressionism,Charcoal,"20""x30""",No,Calgary,890,3,Free Shipping,Oceanic Tones,Original,Print,Bedroom,Calming,Bright Light,Giclée,Corporate Clients,2022-03-16
Frida,Landscape,Abstract Expressionism,Charcoal,"24""x36""",No,Montreal,499,3,Free Shipping,Cool Tones,Copy,Real,Living Room,Joyful,Bright Light,Lithograph,Corporate Clients,2022-03-17
Jija,Wildlife,Modern,Watercolor,"18""x24""",Yes,Montreal,231,8,Free Shipping,Cool Tones,Original,Print,Living Room,Energetic,Bright Light,Lithograph,Interior Designers,2022-03-18
Frida,Abstract,Modern,Watercolor,"18""x24""",No,Vancouver,813,4,Free Shipping,Oceanic Tones,Copy,Real,Office,Reflective,Bright Light,Screen Print,Art Collectors,2022-03-19
Pablo,Still Life,Surrealism,Acrylic,"24""x36""",Yes,Chicago,469,10,Free Shipping,Neutral Tones,Copy,Print,Living Room,Relaxing,Natural Light,Screen Print,Art Collectors,2022-03-20
Ava,Portrait,Surrealism,Acrylic,"24""x36""",Yes,Los Angeles,221,9,Free Shipping,Warm Tones,Original,Real,Bedroom,Energetic,Natural Light,Lithograph,Art Collectors,2022-03-21
